Driver_id, Trip_id, Time, Miles, Trip_Time, Trip_type, Trip_start, Trip_end
A,01-116383-B,0.6080597629599859,3.196970668810216,0.004440237040014189,TripType.D,"835 N Pleasant Valley Rd , Austin , TX 78702","3908 Avenue B, Austin, TX 78751"
A,01-116383-A,0.5351427629599859,3.196970668810216,0.004440237040014189,TripType.B,"3908 Avenue B, Austin, TX 78751","835 N Pleasant Valley Rd , Austin , TX 78702"
A,01-37099-B,0.33333333334,4.208089541602431,0.005844568807781153,TripType.D,"1631 E 2nd St , Bldg . A , Austin , TX 78702","5500 Avenue G, Austin, TX 78751"
A,01-36535-A,0.2931495860353848,11.432458054522955,0.015878413964615215,TripType.B,"3500 W Parmer Ln, Austin, TX 78727","1631 E 2nd St , Bldg . D , Austin , TX 78702"
A,01-19018-B,0.2375000000066667,10.9978479020245,0.015274788752811805,TripType.D,"1801 E 51st St , Bldg . G , Austin , TX 78723","1500 Royston Ln, Round Rock, TX 78664"
A,981,0.3090280000000001,0.0,0.0,TripType.C,"1631 E 2nd St , Bldg . D , Austin , TX 78702","1631 E 2nd St , Bldg . A , Austin , TX 78702"
A,591,0.2874449086528538,4.107367715422298,0.00570467738253097,TripType.A,"1500 Royston Ln, Round Rock, TX 78664","3500 W Parmer Ln, Austin, TX 78727"
A,701,0.3819440000000003,1.4595350656355761,0.002027132035604967,TripType.A,"5500 Avenue G, Austin, TX 78751","3908 Avenue B, Austin, TX 78751"
A,867,1.0,1.266540800598188,0.001759084445275261,TripType.INTER_B,"3908 Avenue B, Austin, TX 78751","110 Inner Campus Drive Austin,TX"
A,884,0,2.5825194785357306,0.0035868326090774034,TripType.INTER_A,"110 Inner Campus Drive Austin,TX","1801 E 51st St , Bldg . G , Austin , TX 78723"
E,01-12943-A,0.5988139154765376,2.3537408568929585,0.0032690845234624425,TripType.B,"901 Trinity St, Austin, TX 78701","801 W 38th St , Austin , TX 78705"
E,01-12943-B,0.9967309154765376,2.3537408568929585,0.0032690845234624425,TripType.D,"801 W 38th St , Austin , TX 78705","901 Trinity St, Austin, TX 78701"
E,01-36553-B,0.53125033334,6.916973516927019,0.009606907662398637,TripType.D,"10000 Metric Blvd , Austin , TX 78758","2211 E Martin Luther King Jr Blvd, Austin, TX 78702"
E,01-37274-A,0.2663338479195241,1.739629497942652,0.0024161520804759054,TripType.B,"606 W 15th St, Austin, TX 78701","1631 E 2nd St , Bldg . A C & D , Austin , TX 78702"
E,01-37274-B,0.3080008479195241,1.739629497942652,0.0024161520804759054,TripType.D,"1631 E 2nd St , Bldg . A C & D , Austin , TX 78702","606 W 15th St, Austin, TX 78701"
E,01-36553-A,0.3515040923376014,6.916973516927019,0.009606907662398637,TripType.B,"2211 E Martin Luther King Jr Blvd, Austin, TX 78702","10000 Metric Blvd , Austin , TX 78758"
E,254,0.31041700000000017,1.6865591338353483,0.002342443241437984,TripType.A,"606 W 15th St, Austin, TX 78701","2211 E Martin Luther King Jr Blvd, Austin, TX 78702"
E,90,0.5798610000000002,1.3778959638205248,0.0019137443941951732,TripType.A,"2211 E Martin Luther King Jr Blvd, Austin, TX 78702","901 Trinity St, Austin, TX 78701"
E,940,1.0,3.851307977469346,0.005349038857596314,TripType.INTER_B,"901 Trinity St, Austin, TX 78701","299 Blueridge Trail Austin, TX 78746"
E,101,0,3.3146781225481536,0.004603719614650214,TripType.INTER_A,"299 Blueridge Trail Austin, TX 78746","606 W 15th St, Austin, TX 78701"
C,01-73577-A,0.4201305423025929,3.506009542133106,0.004869457697407092,TripType.B,"1014 Gardner Rd, Austin, TX 78721","3100 Red River St , Austin , TX 78705"
C,01-73577-B,0.4930475423025929,3.506009542133106,0.004869457697407092,TripType.D,"3100 Red River St , Austin , TX 78705","1014 Gardner Rd, Austin, TX 78721"
C,645,1.0,3.0667834212997143,0.004259421418471825,TripType.INTER_B,"1014 Gardner Rd, Austin, TX 78721","1840 Burton Dr, Austin, TX 78741"
C,50,0,3.0667834212997143,0.004259421418471825,TripType.INTER_A,"1840 Burton Dr, Austin, TX 78741","1014 Gardner Rd, Austin, TX 78721"
B,01-37095-B,0.62500033334,7.717788104916644,0.010719150145717561,TripType.D,"1801 E 51st St , Apt . 100 , Bldg . G , Austin , TX 78723","9507 Dessau Rd, Austin, TX 78754"
B,01-37414-A,0.19459572823510315,14.891235670725747,0.02068227176489687,TripType.B,"9507 Dessau Rd, Austin, TX 78754","1701 W Ben White Blvd , Apt . 180 , Austin , TX 78704"
B,01-19018-A,0.16860178933657383,10.9978479020245,0.015274788752811805,TripType.B,"1500 Royston Ln, Round Rock, TX 78664","1801 E 51st St , Bldg . G , Austin , TX 78723"
B,01-35956-B,0.5793844706094595,15.342861161189118,0.02130952939054044,TripType.D,"2800 S I H 35 , Austin , TX 78704-5700","1101 W New Hope Dr, Cedar Park, TX 78613"
B,01-37381-A,0.34451796371509846,19.447226125129113,0.027010036284901548,TripType.B,"2121 Cypress Creek Road, Cedar Park, TX 78613","1110 W William Cannon Dr , Apt . 303 , Austin , TX 78745"
B,01-116251-B,0.995002121735922,3.5984723501361557,0.004997878264077994,TripType.D,"1030 Norwood Park Blvd , Austin , TX 78753","4509 Springdale Rd, Austin, TX 78723"
B,01-35956-A,0.3814684706094596,15.342861161189118,0.02130952939054044,TripType.B,"1101 W New Hope Dr, Cedar Park, TX 78613","2800 S I H 35 , Austin , TX 78704-5700"
B,01-37095-A,0.41666633334,7.717788104916644,0.010719150145717561,TripType.B,"9507 Dessau Rd, Austin, TX 78754","1801 E 51st St , Apt . 100 , Bldg . G , Austin , TX 78723"
B,01-36535-B,0.31250033334,11.432458054522955,0.015878413964615215,TripType.D,"1631 E 2nd St , Bldg . D , Austin , TX 78702","3500 W Parmer Ln, Austin, TX 78727"
B,01-37099-A,0.30318343119221886,4.208089541602431,0.005844568807781153,TripType.B,"5500 Avenue G, Austin, TX 78751","1631 E 2nd St , Bldg . A , Austin , TX 78702"
B,01-37414-B,0.39583333334,14.891235670725747,0.02068227176489687,TripType.D,"1701 W Ben White Blvd , Apt . 180 , Austin , TX 78704","9507 Dessau Rd, Austin, TX 78754"
B,01-37381-B,0.40701796371509913,19.447226125129113,0.027010036284901548,TripType.D,"1110 W William Cannon Dr , Apt . 303 , Austin , TX 78745","2121 Cypress Creek Road, Cedar Park, TX 78613"
B,242,0.6357194834857176,5.335162590721894,0.007409948042669297,TripType.C,"9507 Dessau Rd, Austin, TX 78754","1030 Norwood Park Blvd , Austin , TX 78753"
B,1078,1.0,1.7996874327114671,0.0024995658787659264,TripType.C,"4509 Springdale Rd, Austin, TX 78723","1801 E 51st St , Bldg . G , Austin , TX 78723"
B,446,0.3283787473046152,9.087722636827754,0.012621836995594103,TripType.A,"3500 W Parmer Ln, Austin, TX 78727","2121 Cypress Creek Road, Cedar Park, TX 78613"
B,375,0.3090280000000001,0.0,0.0,TripType.C,"1631 E 2nd St , Bldg . A , Austin , TX 78702","1631 E 2nd St , Bldg . D , Austin , TX 78702"
B,450,0.33872395203040684,11.11851454290669,0.015442381309592626,TripType.A,"3500 W Parmer Ln, Austin, TX 78727","1101 W New Hope Dr, Cedar Park, TX 78613"
B,14,1.0,9.087722636827754,0.012621836995594103,TripType.A,"2121 Cypress Creek Road, Cedar Park, TX 78613","3500 W Parmer Ln, Austin, TX 78727"
B,420,0.18387657808938562,7.717788104916644,0.010719150145717561,TripType.A,"1801 E 51st St , Bldg . G , Austin , TX 78723","9507 Dessau Rd, Austin, TX 78754"
B,432,0.2062500000000001,1.3896295916818275,0.001930041099558094,TripType.A,"1801 E 51st St , Bldg . G , Austin , TX 78723","5500 Avenue G, Austin, TX 78751"
B,154,1.0,9.757251601242482,0.013551738335059002,TripType.INTER_B,"1101 W New Hope Dr, Cedar Park, TX 78613","1001 Penny Ln Round Rock, TX 78681"
B,1017,0,3.540659057529165,0.004917582024346063,TripType.INTER_A,"1001 Penny Ln Round Rock, TX 78681","1500 Royston Ln, Round Rock, TX 78664"
D,01-36121-A,0.17981187695257986,26.535688594142503,0.03685512304742014,TripType.B,"216 W 3rd St, Elgin, TX 78621","6114 S First St , Austin , TX 78745-4008"
